Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,113.440002,113.830002,113.050003,113.489998,113.489998,267444
2011-02-01,113.379997,114.660004,113.379997,114.430000,114.430000,86423
2011-03-01,114.449997,114.690002,113.599998,114.150002,114.150002,78064
2011-04-01,114.089996,114.820000,113.339996,114.709999,114.709999,271282
2011-05-01,114.709999,116.220001,114.360001,116.110001,116.110001,381733
2011-06-01,116.059998,116.349998,113.529999,113.550003,113.550003,70551
2011-07-01,113.730003,114.809998,113.339996,114.449997,114.449997,67389
2011-08-01,114.510002,114.959999,111.919998,112.279999,112.279999,131601
2011-09-01,112.930000,113.779999,110.570000,111.290001,111.290001,487733
2011-10-01,111.410004,113.809998,110.050003,113.720001,113.720001,84630
2011-11-01,113.559998,114.190002,109.220001,110.379997,110.379997,105926
2011-12-01,110.279999,113.099998,110.279999,111.150002,111.150002,88149
2012-01-01,111.150002,114.379997,110.980003,114.430000,114.430000,85437
2012-02-01,114.500000,116.680000,114.500000,116.580002,116.580002,50093
2012-03-01,116.489998,117.610001,116.290001,117.500000,117.500000,172418
2012-04-01,117.370003,117.650002,114.529999,117.059998,117.059998,54396
2012-05-01,116.955002,117.970001,116.489998,117.519997,117.519997,131872
2012-06-01,117.349998,117.940002,114.779999,115.650002,115.650002,118235
2012-07-01,115.860001,118.150002,115.739998,118.279999,118.279999,321293
2012-08-01,118.279999,119.779999,117.599998,119.300003,119.300003,588109
2012-09-01,119.389999,120.639999,118.970001,120.550003,120.550003,177028
2012-10-01,120.470001,121.930000,120.400002,121.910004,121.910004,374400
2012-11-01,121.959999,123.029999,121.959999,122.949997,122.949997,1026796
2012-12-01,123.040001,123.800003,121.779999,122.095001,122.095001,294844
2013-01-01,121.919998,122.199997,120.269997,120.430000,120.430000,1643640
2013-02-01,120.610001,122.070000,120.400002,121.959999,121.959999,251020
2013-03-01,122.239998,123.000000,120.260002,122.610001,122.610001,510119
2013-04-01,122.610001,124.180000,122.400002,124.239998,124.239998,992290
2013-05-01,124.330002,124.900002,123.709999,123.849998,123.849998,933792
2013-06-01,123.809998,123.809998,119.059998,120.239998,120.239998,642901
2013-07-01,120.300003,121.620003,119.930000,121.320000,121.320000,1121911
2013-08-01,121.540001,121.839996,120.360001,120.860001,120.860001,537700
2013-09-01,120.639999,121.959999,120.089996,121.779999,121.779999,2282137
2013-10-01,121.690002,123.250000,121.519997,123.180000,123.180000,954732
2013-11-01,123.169998,123.470001,122.730003,123.470001,123.470001,914054
2013-12-01,123.269997,123.330002,121.209999,121.430000,121.430000,474995
2014-01-01,121.430000,123.000000,121.370003,122.959999,122.959999,1296341
2014-02-01,122.930000,123.970001,122.739998,123.570000,123.570000,234414
2014-03-01,123.669998,124.400002,123.529999,124.120003,124.120003,1773459
2014-04-01,124.099998,125.290001,123.900002,125.269997,125.269997,385581
2014-05-01,125.199997,126.449997,125.199997,126.269997,126.269997,662396
2014-06-01,126.320000,127.010002,125.370003,125.529999,125.529999,1040049
2014-07-01,125.480003,126.330002,125.370003,126.190002,126.190002,1281288
2014-08-01,126.209999,127.610001,125.949997,127.599998,127.599998,363554
2014-09-01,127.680000,127.959999,127.300003,127.739998,127.739998,694813
2014-10-01,127.870003,128.350006,127.589996,128.330002,128.330002,1711921
2014-11-01,128.389999,129.089996,128.100006,129.009995,129.009995,2241334
2014-12-01,129.070007,129.389999,127.820000,128.440002,128.440002,978061
